prompt_id,layer,head,cv,kl,entropy,p_max
factual,14,2,0.432479,0.4571907,0.136941,0.97104
factual,14,3,0.898075,2.9250379,1.228614,0.580262
factual,14,4,0.639427,2.7893443,1.447754,0.43097
factual,14,5,0.496463,3.2020233,1.55368,0.393983
factual,14,6,0.804673,3.4990683,1.26406,0.538219
factual,14,7,0.845871,2.4131811,1.322279,0.536126
factual,14,8,0.677285,3.1655271,1.430856,0.476482
factual,14,9,1.105023,1.9958633,0.73211,0.783606
factual,14,10,1.127305,2.389066,0.802039,0.769639
factual,14,11,1.109517,2.0973907,0.884017,0.735017
factual,14,12,1.078928,2.1723609,0.845465,0.755724
factual,14,13,1.409655,2.4238133,0.732067,0.831433
factual,14,14,1.408505,1.8522635,0.608281,0.867126
factual,14,15,1.066968,2.8994293,1.166519,0.642323
factual,14,16,1.083737,2.9890211,1.133437,0.662594
factual,14,17,0.707536,2.8910766,1.334465,0.515404
factual,14,18,0.844436,3.6377211,1.345652,0.523196
factual,14,19,0.926201,3.2405899,1.284966,0.584995
factual,14,20,1.161978,2.9375286,1.115055,0.663054
factual,14,21,0.791988,1.5752435,0.805279,0.721397
factual,14,22,0.395144,0.6554165,0.317464,0.879909
factual,14,23,1.003329,2.8150423,1.037537,0.662288
factual,15,0,1.134411,1.0575392,0.369346,0.927437
factual,15,1,1.191911,1.4115361,0.434108,0.908022
factual,15,2,1.140101,1.9438843,0.964519,0.716366
factual,15,3,0.854214,2.3210955,1.263754,0.553625
factual,15,4,1.129239,1.7502288,0.972697,0.707906
factual,15,5,0.987069,2.8626678,1.238045,0.589419
factual,15,6,1.25434,1.4142878,0.536408,0.879907
factual,15,7,1.209417,1.2952797,0.569174,0.862584
factual,15,8,1.000092,2.297482,1.062512,0.648876
factual,15,9,0.88939,3.1092057,1.31266,0.545518
factual,15,10,0.966759,3.1360669,1.268929,0.595744
factual,15,11,0.742886,2.906208,1.406359,0.507684
factual,15,12,1.109547,1.4495138,0.457642,0.898958
factual,15,13,0.8159,0.721993,0.232135,0.957377
factual,15,14,1.05744,1.7843482,0.792453,0.758219
factual,15,15,1.070638,3.9988029,1.229035,0.628465
factual,15,16,1.115546,3.103847,1.198714,0.633816
factual,15,17,0.966182,2.2087746,0.987917,0.672356
factual,15,18,1.050795,1.497797,0.68044,0.792095
factual,15,19,1.222581,1.2591558,0.524453,0.880281
factual,15,20,1.236011,1.8039715,0.842069,0.771946
factual,15,21,1.1224,1.8783358,0.717593,0.80556
factual,15,22,1.184675,1.774762,0.743483,0.808153
factual,15,23,1.238999,2.4681435,0.87756,0.759658
factual,16,0,0.967291,0.8379798,0.301361,0.940182
factual,16,1,1.356524,2.4914045,0.747687,0.812569
factual,16,2,0.711169,0.5204491,0.196807,0.963244
factual,16,3,0.399828,0.2349197,0.093738,0.983888
factual,16,4,1.00609,1.3125384,0.624037,0.817825
factual,16,5,0.75012,0.5576869,0.189489,0.967693
factual,16,6,0.884718,2.6706636,1.128994,0.629066
factual,16,7,0.9872,1.7906959,0.69351,0.793596
factual,16,8,1.366291,2.4603684,0.893415,0.770383
factual,16,9,0.999464,1.2128395,0.37091,0.918382
factual,16,10,0.838863,0.6602909,0.238011,0.955401
factual,16,11,1.132975,1.5379207,0.841,0.764132
factual,16,12,1.076232,1.0819358,0.50254,0.878138
factual,16,13,1.078463,1.0904257,0.359833,0.928043
factual,16,14,1.181775,1.5824785,0.573524,0.863443
factual,16,15,1.120579,1.14744,0.413932,0.913847
factual,16,16,1.084126,0.9841375,0.340483,0.935143
factual,16,17,1.030338,1.1858377,0.357284,0.927443
factual,16,18,1.253229,2.6079926,0.922802,0.730873
factual,16,19,0.907362,2.0352845,1.069165,0.612376
factual,16,20,1.087323,1.9763403,0.948482,0.705901
factual,16,21,0.874572,2.2912645,1.227771,0.588213
factual,16,22,0.965866,0.9962208,0.573036,0.842403
factual,16,23,1.074703,1.0515532,0.465562,0.883106
factual,17,0,0.861615,0.8643693,0.381201,0.906591
factual,17,1,1.089854,1.1882112,0.410343,0.912382
factual,17,2,1.216602,1.9861085,0.817201,0.779092
factual,17,3,0.871791,0.781397,0.264979,0.949593
factual,17,4,0.666673,0.4606003,0.165776,0.971905
factual,17,5,1.071552,0.9841887,0.603651,0.838303
factual,17,6,0.891463,1.7122029,1.118125,0.607702
factual,17,7,0.964214,1.1112207,0.914926,0.677333
factual,17,8,1.166713,2.2026739,0.980346,0.697314
factual,17,9,0.570081,0.3587024,0.253894,0.929254
factual,17,10,0.951055,1.1634282,0.382479,0.914983
factual,17,11,0.672749,0.4997454,0.300146,0.918118
factual,17,12,0.639745,0.5227723,0.166796,0.969231
factual,17,13,1.01547,1.1046305,0.432182,0.899081
factual,17,14,1.03713,0.9038463,0.313046,0.940661
factual,17,15,1.062802,2.9611938,1.101078,0.661697
factual,17,16,1.110151,1.440143,0.669702,0.8104
factual,17,17,1.185318,2.2040176,1.004176,0.722235
factual,17,18,1.091552,1.5741112,0.725146,0.8011
factual,17,19,0.653492,0.6306092,0.254017,0.934832
factual,17,20,1.025904,1.1080811,0.446699,0.893507
factual,17,21,0.994869,0.8792917,0.30192,0.941708
factual,17,22,1.093069,1.2461345,0.496565,0.879876
factual,17,23,1.100247,0.9428118,0.377038,0.922709
factual,18,0,0.893141,1.5007856,0.792074,0.6898
factual,18,1,1.201271,1.926789,0.598992,0.857095
factual,18,2,0.833917,0.6765246,0.222506,0.960548
factual,18,3,0.859252,0.9562526,0.277678,0.944633
factual,18,4,0.684705,0.6062545,0.190009,0.965481
factual,18,5,0.768073,2.1359799,0.386991,0.872675
factual,18,6,1.144789,1.6620674,0.747864,0.790903
factual,18,7,1.311064,1.9437313,0.641191,0.846001
factual,18,8,1.332871,1.8725462,0.553814,0.876349
